candidate_id,pair_id_a,pair_id_b,image_path_a,image_path_b,caption_a,caption_b,image_similarity,text_similarity,joint_similarity,max_similarity,signals,bucket,label,annotator,audit_label,notes,needs_audit,label_options,annotation_guideline,final_label,adjudication_status
cand_000221,cc3m_5449,cc3m_181343,D:\data\cc3m_subset_200k\cc3m_5449.jpg,D:\data\cc3m_subset_200k\cc3m_181343.jpg,flag with flag pole waving in the wind over white background,flag with flag pole waving in the wind over white background,0.7051731944084167,1.000000238418579,0.8525866270065308,1.000000238418579,joint|text,very_high,not-duplicate,wzy,,,0,duplicate|near-duplicate|not-duplicate,duplicate: same image and same caption meaning; near-duplicate: visually/semantically same with small edits; not-duplicate: meaningfully different pair.,not-duplicate,not_audited
cand_000420,cc3m_1906,cc3m_155680,D:\data\cc3m_subset_200k\cc3m_1906.jpg,D:\data\cc3m_subset_200k\cc3m_155680.jpg,a model walks the runway at the fashion show during event .,a model walks the runway at the fashion show during event .,0.6563841700553894,1.000000238418579,0.8281921148300171,1.000000238418579,text,very_high,near-duplicate,wzy,,,0,duplicate|near-duplicate|not-duplicate,duplicate: same image and same caption meaning; near-duplicate: visually/semantically same with small edits; not-duplicate: meaningfully different pair.,near-duplicate,not_audited
cand_000552,cc3m_193174,cc3m_203402,D:\data\cc3m_subset_200k\cc3m_193174.jpg,D:\data\cc3m_subset_200k\cc3m_203402.jpg,religious leader receives organisation for the annual greetings .,religious leader receives organisation for the annual greetings .,0.7151580452919006,1.000000238418579,0.8575790524482727,1.000000238418579,image|joint|text,very_high,duplicate,wzy,duplicate,,1,duplicate|near-duplicate|not-duplicate,duplicate: same image and same caption meaning; near-duplicate: visually/semantically same with small edits; not-duplicate: meaningfully different pair.,duplicate,agreed
cand_000610,cc3m_155982,cc3m_169927,D:\data\cc3m_subset_200k\cc3m_155982.jpg,D:\data\cc3m_subset_200k\cc3m_169927.jpg,musician of issues performs on stage,musician of issues performs on stage,0.9029484391212463,1.000000238418579,0.9514743685722351,1.000000238418579,image|joint|text,very_high,duplicate,wzy,,,0,duplicate|near-duplicate|not-duplicate,duplicate: same image and same caption meaning; near-duplicate: visually/semantically same with small edits; not-duplicate: meaningfully different pair.,duplicate,not_audited
cand_000753,cc3m_113243,cc3m_117628,D:\data\cc3m_subset_200k\cc3m_113243.jpg,D:\data\cc3m_subset_200k\cc3m_117628.jpg,colored label on a textured background for baby showers,colored label on a textured background for baby showers,0.7528719305992126,1.000000238418579,0.8764361143112183,1.000000238418579,image|joint|text,very_high,near-duplicate,wzy,near-duplicate,,1,duplicate|near-duplicate|not-duplicate,duplicate: same image and same caption meaning; near-duplicate: visually/semantically same with small edits; not-duplicate: meaningfully different pair.,near-duplicate,agreed
cand_000789,cc3m_102285,cc3m_199886,D:\data\cc3m_subset_200k\cc3m_102285.jpg,D:\data\cc3m_subset_200k\cc3m_199886.jpg,coral reef outside the island,coral reef outside the island,0.8691694140434265,1.000000238418579,0.9345847368240356,1.000000238418579,image|joint|text,very_high,duplicate,wzy,,,0,duplicate|near-duplicate|not-duplicate,duplicate: same image and same caption meaning; near-duplicate: visually/semantically same with small edits; not-duplicate: meaningfully different pair.,duplicate,not_audited
cand_000988,cc3m_73423,cc3m_180988,D:\data\cc3m_subset_200k\cc3m_73423.jpg,D:\data\cc3m_subset_200k\cc3m_180988.jpg,members of the team sharpen their skills .,members of the team sharpen their skills .,0.8017340302467346,1.000000238418579,0.9008669853210449,1.000000238418579,image|joint|text,very_high,duplicate,wzy,,,0,duplicate|near-duplicate|not-duplicate,duplicate: same image and same caption meaning; near-duplicate: visually/semantically same with small edits; not-duplicate: meaningfully different pair.,duplicate,not_audited
cand_001261,cc3m_37575,cc3m_65208,D:\data\cc3m_subset_200k\cc3m_37575.jpg,D:\data\cc3m_subset_200k\cc3m_65208.jpg,"ships have passed through the canal , which became sole property in the year","ships have passed through the canal , which became sole property in the year",0.9429723024368286,1.000000238418579,0.9714862108230591,1.000000238418579,image|joint|text,very_high,duplicate,wzy,,,0,duplicate|near-duplicate|not-duplicate,duplicate: same image and same caption meaning; near-duplicate: visually/semantically same with small edits; not-duplicate: meaningfully different pair.,duplicate,not_audited
cand_001344,cc3m_155680,cc3m_181561,D:\data\cc3m_subset_200k\cc3m_155680.jpg,D:\data\cc3m_subset_200k\cc3m_181561.jpg,a model walks the runway at the fashion show during event .,a model walks the runway at the fashion show during event .,0.7050940990447998,1.000000238418579,0.8525471091270447,1.000000238418579,joint,very_high,duplicate,wzy,,,0,duplicate|near-duplicate|not-duplicate,duplicate: same image and same caption meaning; near-duplicate: visually/semantically same with small edits; not-duplicate: meaningfully different pair.,duplicate,not_audited
cand_001513,cc3m_69932,cc3m_166360,D:\data\cc3m_subset_200k\cc3m_69932.jpg,D:\data\cc3m_subset_200k\cc3m_166360.jpg,a model walks the runway at the fashion show during event .,a model walks the runway at the fashion show during event .,0.66624915599823,1.000000238418579,0.8331246376037598,1.000000238418579,joint,very_high,not-duplicate,wzy,,,0,duplicate|near-duplicate|not-duplicate,duplicate: same image and same caption meaning; near-duplicate: visually/semantically same with small edits; not-duplicate: meaningfully different pair.,not-duplicate,not_audited
cand_001558,cc3m_44556,cc3m_182980,D:\data\cc3m_subset_200k\cc3m_44556.jpg,D:\data\cc3m_subset_200k\cc3m_182980.jpg,a model walks the runway at the fashion show during event .,a model walks the runway at the fashion show during event .,0.6790602803230286,1.000000238418579,0.8395301103591919,1.000000238418579,joint,very_high,not-duplicate,wzy,,,0,duplicate|near-duplicate|not-duplicate,duplicate: same image and same caption meaning; near-duplicate: visually/semantically same with small edits; not-duplicate: meaningfully different pair.,not-duplicate,not_audited
cand_001957,cc3m_116258,cc3m_137756,D:\data\cc3m_subset_200k\cc3m_116258.jpg,D:\data\cc3m_subset_200k\cc3m_137756.jpg,a model walks the runway at the winter fashion show during london menswear fashion week .,a model walks the runway at the winter fashion show during london menswear fashion week .,0.7092419862747192,1.000000238418579,0.8546210527420044,1.000000238418579,joint|text,very_high,not-duplicate,wzy,,,0,duplicate|near-duplicate|not-duplicate,duplicate: same image and same caption meaning; near-duplicate: visually/semantically same with small edits; not-duplicate: meaningfully different pair.,not-duplicate,not_audited
cand_002297,cc3m_81455,cc3m_196616,D:\data\cc3m_subset_200k\cc3m_81455.jpg,D:\data\cc3m_subset_200k\cc3m_196616.jpg,baseball player pitches against sports team .,baseball player pitches against sports team .,0.7351364493370056,1.000000238418579,0.86756831407547,1.000000238418579,joint|text,very_high,near-duplicate,wzy,,,0,duplicate|near-duplicate|not-duplicate,duplicate: same image and same caption meaning; near-duplicate: visually/semantically same with small edits; not-duplicate: meaningfully different pair.,near-duplicate,not_audited
cand_002369,cc3m_73605,cc3m_183798,D:\data\cc3m_subset_200k\cc3m_73605.jpg,D:\data\cc3m_subset_200k\cc3m_183798.jpg,"frame template for cards , invitations , banners .","frame template for cards , invitations , banners .",0.6744111776351929,1.000000238418579,0.8372056484222412,1.000000238418579,joint|text,very_high,not-duplicate,wzy,,,0,duplicate|near-duplicate|not-duplicate,duplicate: same image and same caption meaning; near-duplicate: visually/semantically same with small edits; not-duplicate: meaningfully different pair.,not-duplicate,not_audited
cand_003568,cc3m_12282,cc3m_65285,D:\data\cc3m_subset_200k\cc3m_12282.jpg,D:\data\cc3m_subset_200k\cc3m_65285.jpg,person and battle for the ball,person and battle for the ball,0.6977609395980835,1.000000238418579,0.8488804697990417,1.000000238418579,joint|text,very_high,near-duplicate,wzy,,,0,duplicate|near-duplicate|not-duplicate,duplicate: same image and same caption meaning; near-duplicate: visually/semantically same with small edits; not-duplicate: meaningfully different pair.,near-duplicate,not_audited
cand_003954,cc3m_7400,cc3m_81599,D:\data\cc3m_subset_200k\cc3m_7400.jpg,D:\data\cc3m_subset_200k\cc3m_81599.jpg,vector silhouette of a woman on white background .,vector silhouette of a woman on white background .,0.8868153095245361,1.000000238418579,0.9434077739715576,1.000000238418579,image|joint|text,very_high,duplicate,wzy,duplicate,,1,duplicate|near-duplicate|not-duplicate,duplicate: same image and same caption meaning; near-duplicate: visually/semantically same with small edits; not-duplicate: meaningfully different pair.,duplicate,agreed
cand_003986,cc3m_3820,cc3m_119278,D:\data\cc3m_subset_200k\cc3m_3820.jpg,D:\data\cc3m_subset_200k\cc3m_119278.jpg,explore the colors of the rainbow while practicing classification with this beautiful rainbow bead sorting activity .,explore the colors of the rainbow while practicing classification with this beautiful rainbow bead sorting activity .,0.9368629455566406,1.000000238418579,0.9684314727783203,1.000000238418579,image|joint|text,very_high,duplicate,wzy,,,0,duplicate|near-duplicate|not-duplicate,duplicate: same image and same caption meaning; near-duplicate: visually/semantically same with small edits; not-duplicate: meaningfully different pair.,duplicate,not_audited
cand_004001,cc3m_2354,cc3m_123435,D:\data\cc3m_subset_200k\cc3m_2354.jpg,D:\data\cc3m_subset_200k\cc3m_123435.jpg,vector set of made in the labels .,vector set of made in the labels .,0.7563621997833252,1.000000238418579,0.8781812191009521,1.000000238418579,image|joint|text,very_high,not-duplicate,wzy,,,0,duplicate|near-duplicate|not-duplicate,duplicate: same image and same caption meaning; near-duplicate: visually/semantically same with small edits; not-duplicate: meaningfully different pair.,not-duplicate,not_audited
cand_004278,cc3m_10261,cc3m_204475,D:\data\cc3m_subset_200k\cc3m_10261.jpg,D:\data\cc3m_subset_200k\cc3m_204475.jpg,football player and battle for the ball,football player and battle for the ball,0.6006995439529419,1.0000001192092896,0.8003498315811157,1.0000001192092896,text,very_high,near-duplicate,wzy,,,0,duplicate|near-duplicate|not-duplicate,duplicate: same image and same caption meaning; near-duplicate: visually/semantically same with small edits; not-duplicate: meaningfully different pair.,near-duplicate,not_audited
cand_004536,cc3m_10003,cc3m_139825,D:\data\cc3m_subset_200k\cc3m_10003.jpg,D:\data\cc3m_subset_200k\cc3m_139825.jpg,tees off the 2nd during day,tees off the 2nd during day,0.6872698068618774,1.0000001192092896,0.8436350226402283,1.0000001192092896,joint|text,very_high,not-duplicate,wzy,,,0,duplicate|near-duplicate|not-duplicate,duplicate: same image and same caption meaning; near-duplicate: visually/semantically same with small edits; not-duplicate: meaningfully different pair.,not-duplicate,not_audited
cand_005147,cc3m_8888,cc3m_100509,D:\data\cc3m_subset_200k\cc3m_8888.jpg,D:\data\cc3m_subset_200k\cc3m_100509.jpg,film director attends the premiere,film director attends the premiere,0.6104763746261597,1.0000001192092896,0.8052383065223694,1.0000001192092896,joint|text,very_high,not-duplicate,wzy,,,0,duplicate|near-duplicate|not-duplicate,duplicate: same image and same caption meaning; near-duplicate: visually/semantically same with small edits; not-duplicate: meaningfully different pair.,not-duplicate,not_audited
cand_005259,cc3m_8325,cc3m_158232,D:\data\cc3m_subset_200k\cc3m_8325.jpg,D:\data\cc3m_subset_200k\cc3m_158232.jpg,football player and battle for the ball,football player and battle for the ball,0.6935049295425415,1.0000001192092896,0.8467526435852051,1.0000001192092896,text,very_high,near-duplicate,wzy,,,0,duplicate|near-duplicate|not-duplicate,duplicate: same image and same caption meaning; near-duplicate: visually/semantically same with small edits; not-duplicate: meaningfully different pair.,near-duplicate,not_audited
