candidate_id,pair_id_a,pair_id_b,image_path_a,image_path_b,caption_a,caption_b,image_similarity,text_similarity,joint_similarity,max_similarity,signals,bucket,label,annotator,audit_label,notes,needs_audit,label_options,annotation_guideline,final_label,adjudication_status,is_positive,image_pred,text_pred,naive_pred,joint_pred,image_correct,text_correct,naive_correct,joint_correct,joint_error_type,image_error_type,caption_equal,image_minus_joint,text_minus_image
cand_000221,cc3m_5449,cc3m_181343,D:\data\cc3m_subset_200k\cc3m_5449.jpg,D:\data\cc3m_subset_200k\cc3m_181343.jpg,flag with flag pole waving in the wind over white background,flag with flag pole waving in the wind over white background,0.7051731944084167,1.000000238418579,0.8525866270065308,1.000000238418579,joint|text,very_high,not-duplicate,wzy,,,0,duplicate|near-duplicate|not-duplicate,duplicate: same image and same caption meaning; near-duplicate: visually/semantically same with small edits; not-duplicate: meaningfully different pair.,not-duplicate,not_audited,0,0,1,1,1,1,0,0,0,fp,,1,-0.147413,0.294827
cand_001957,cc3m_116258,cc3m_137756,D:\data\cc3m_subset_200k\cc3m_116258.jpg,D:\data\cc3m_subset_200k\cc3m_137756.jpg,a model walks the runway at the winter fashion show during london menswear fashion week .,a model walks the runway at the winter fashion show during london menswear fashion week .,0.7092419862747192,1.000000238418579,0.8546210527420044,1.000000238418579,joint|text,very_high,not-duplicate,wzy,,,0,duplicate|near-duplicate|not-duplicate,duplicate: same image and same caption meaning; near-duplicate: visually/semantically same with small edits; not-duplicate: meaningfully different pair.,not-duplicate,not_audited,0,0,1,1,1,1,0,0,0,fp,,1,-0.145379,0.290758
cand_004001,cc3m_2354,cc3m_123435,D:\data\cc3m_subset_200k\cc3m_2354.jpg,D:\data\cc3m_subset_200k\cc3m_123435.jpg,vector set of made in the labels .,vector set of made in the labels .,0.7563621997833252,1.000000238418579,0.8781812191009521,1.000000238418579,image|joint|text,very_high,not-duplicate,wzy,,,0,duplicate|near-duplicate|not-duplicate,duplicate: same image and same caption meaning; near-duplicate: visually/semantically same with small edits; not-duplicate: meaningfully different pair.,not-duplicate,not_audited,0,0,1,1,1,1,0,0,0,fp,,1,-0.121819,0.243638
cand_011454,cc3m_2788,cc3m_24828,D:\data\cc3m_subset_200k\cc3m_2788.jpg,D:\data\cc3m_subset_200k\cc3m_24828.jpg,images from the girls basketball game .,images from the girls basketball game .,0.805348813533783,1.0000001192092896,0.9026744365692139,1.0000001192092896,text,very_high,not-duplicate,wzy,,,0,duplicate|near-duplicate|not-duplicate,duplicate: same image and same caption meaning; near-duplicate: visually/semantically same with small edits; not-duplicate: meaningfully different pair.,not-duplicate,not_audited,0,1,1,1,1,0,0,0,0,fp,fp,1,-0.097326,0.194651
cand_015063,cc3m_184166,cc3m_185458,D:\data\cc3m_subset_200k\cc3m_184166.jpg,D:\data\cc3m_subset_200k\cc3m_185458.jpg,soccer player speaks during a press conference .,soccer player speaks during a press conference .,0.8582079410552979,1.0000001192092896,0.9291040301322937,1.0000001192092896,image|joint|text,very_high,not-duplicate,wzy,not-duplicate,,1,duplicate|near-duplicate|not-duplicate,duplicate: same image and same caption meaning; near-duplicate: visually/semantically same with small edits; not-duplicate: meaningfully different pair.,not-duplicate,agreed,0,1,1,1,1,0,0,0,0,fp,fp,1,-0.070896,0.141792
cand_015332,cc3m_152556,cc3m_186351,D:\data\cc3m_subset_200k\cc3m_152556.jpg,D:\data\cc3m_subset_200k\cc3m_186351.jpg,a map of the country,a map of the country,0.7603424787521362,1.0000001192092896,0.8801712989807129,1.0000001192092896,image|joint,very_high,not-duplicate,wzy,,,0,duplicate|near-duplicate|not-duplicate,duplicate: same image and same caption meaning; near-duplicate: visually/semantically same with small edits; not-duplicate: meaningfully different pair.,not-duplicate,not_audited,0,0,1,1,1,1,0,0,0,fp,,1,-0.119829,0.239658
cand_015553,cc3m_138791,cc3m_173685,D:\data\cc3m_subset_200k\cc3m_138791.jpg,D:\data\cc3m_subset_200k\cc3m_173685.jpg,person and musician perform on stage,person and musician perform on stage,0.804508626461029,1.0000001192092896,0.9022543430328369,1.0000001192092896,image|joint|text,very_high,not-duplicate,wzy,not-duplicate,,1,duplicate|near-duplicate|not-duplicate,duplicate: same image and same caption meaning; near-duplicate: visually/semantically same with small edits; not-duplicate: meaningfully different pair.,not-duplicate,agreed,0,1,1,1,1,0,0,0,0,fp,fp,1,-0.097746,0.195491
cand_016703,cc3m_87752,cc3m_92641,D:\data\cc3m_subset_200k\cc3m_87752.jpg,D:\data\cc3m_subset_200k\cc3m_92641.jpg,children playing in the park illustration,children playing in the park illustration,0.7975255250930786,1.0000001192092896,0.8987628221511841,1.0000001192092896,image|joint|text,very_high,not-duplicate,wzy,,,0,duplicate|near-duplicate|not-duplicate,duplicate: same image and same caption meaning; near-duplicate: visually/semantically same with small edits; not-duplicate: meaningfully different pair.,not-duplicate,not_audited,0,0,1,1,1,1,0,0,0,fp,,1,-0.101237,0.202475
cand_017548,cc3m_61469,cc3m_128621,D:\data\cc3m_subset_200k\cc3m_61469.jpg,D:\data\cc3m_subset_200k\cc3m_128621.jpg,flag waving in the wind .,flag waving in the wind .,0.7845703959465027,1.0000001192092896,0.8922852277755737,1.0000001192092896,image|joint,very_high,not-duplicate,wzy,,,0,duplicate|near-duplicate|not-duplicate,duplicate: same image and same caption meaning; near-duplicate: visually/semantically same with small edits; not-duplicate: meaningfully different pair.,not-duplicate,not_audited,0,0,1,1,1,1,0,0,0,fp,,1,-0.107715,0.215430
cand_017568,cc3m_61047,cc3m_77163,D:\data\cc3m_subset_200k\cc3m_61047.jpg,D:\data\cc3m_subset_200k\cc3m_77163.jpg,cake no other view on photo sharing website,cake no other view on photo sharing website,0.7631042003631592,1.0000001192092896,0.8815521001815796,1.0000001192092896,image|joint|text,very_high,not-duplicate,wzy,,,0,duplicate|near-duplicate|not-duplicate,duplicate: same image and same caption meaning; near-duplicate: visually/semantically same with small edits; not-duplicate: meaningfully different pair.,not-duplicate,not_audited,0,0,1,1,1,1,0,0,0,fp,,1,-0.118448,0.236896
