candidate_id,pair_id_a,pair_id_b,image_path_a,image_path_b,caption_a,caption_b,image_similarity,text_similarity,joint_similarity,max_similarity,signals,bucket,label,annotator,audit_label,notes,needs_audit,label_options,annotation_guideline,final_label,adjudication_status,is_positive,image_pred,text_pred,naive_pred,joint_pred,image_correct,text_correct,naive_correct,joint_correct,joint_error_type,image_error_type,caption_equal,image_minus_joint,text_minus_image
cand_000552,cc3m_193174,cc3m_203402,D:\data\cc3m_subset_200k\cc3m_193174.jpg,D:\data\cc3m_subset_200k\cc3m_203402.jpg,religious leader receives organisation for the annual greetings .,religious leader receives organisation for the annual greetings .,0.7151580452919006,1.000000238418579,0.8575790524482727,1.000000238418579,image|joint|text,very_high,duplicate,wzy,duplicate,,1,duplicate|near-duplicate|not-duplicate,duplicate: same image and same caption meaning; near-duplicate: visually/semantically same with small edits; not-duplicate: meaningfully different pair.,duplicate,agreed,1,0,1,1,1,0,1,1,1,,fn,1,-0.142421,0.284842
cand_000753,cc3m_113243,cc3m_117628,D:\data\cc3m_subset_200k\cc3m_113243.jpg,D:\data\cc3m_subset_200k\cc3m_117628.jpg,colored label on a textured background for baby showers,colored label on a textured background for baby showers,0.7528719305992126,1.000000238418579,0.8764361143112183,1.000000238418579,image|joint|text,very_high,near-duplicate,wzy,near-duplicate,,1,duplicate|near-duplicate|not-duplicate,duplicate: same image and same caption meaning; near-duplicate: visually/semantically same with small edits; not-duplicate: meaningfully different pair.,near-duplicate,agreed,1,0,1,1,1,0,1,1,1,,fn,1,-0.123564,0.247128
cand_001344,cc3m_155680,cc3m_181561,D:\data\cc3m_subset_200k\cc3m_155680.jpg,D:\data\cc3m_subset_200k\cc3m_181561.jpg,a model walks the runway at the fashion show during event .,a model walks the runway at the fashion show during event .,0.7050940990447998,1.000000238418579,0.8525471091270447,1.000000238418579,joint,very_high,duplicate,wzy,,,0,duplicate|near-duplicate|not-duplicate,duplicate: same image and same caption meaning; near-duplicate: visually/semantically same with small edits; not-duplicate: meaningfully different pair.,duplicate,not_audited,1,0,1,1,1,0,1,1,1,,fn,1,-0.147453,0.294906
cand_002297,cc3m_81455,cc3m_196616,D:\data\cc3m_subset_200k\cc3m_81455.jpg,D:\data\cc3m_subset_200k\cc3m_196616.jpg,baseball player pitches against sports team .,baseball player pitches against sports team .,0.7351364493370056,1.000000238418579,0.86756831407547,1.000000238418579,joint|text,very_high,near-duplicate,wzy,,,0,duplicate|near-duplicate|not-duplicate,duplicate: same image and same caption meaning; near-duplicate: visually/semantically same with small edits; not-duplicate: meaningfully different pair.,near-duplicate,not_audited,1,0,1,1,1,0,1,1,1,,fn,1,-0.132432,0.264864
cand_015018,cc3m_194951,cc3m_204366,D:\data\cc3m_subset_200k\cc3m_194951.jpg,D:\data\cc3m_subset_200k\cc3m_204366.jpg,american football player at the taping,american football player at the taping,0.7292400598526001,1.0000001192092896,0.8646202087402344,1.0000001192092896,image|joint|text,very_high,near-duplicate,wzy,,,0,duplicate|near-duplicate|not-duplicate,duplicate: same image and same caption meaning; near-duplicate: visually/semantically same with small edits; not-duplicate: meaningfully different pair.,near-duplicate,not_audited,1,0,1,1,1,0,1,1,1,,fn,1,-0.135380,0.270760
cand_015350,cc3m_151257,cc3m_200897,D:\data\cc3m_subset_200k\cc3m_151257.jpg,D:\data\cc3m_subset_200k\cc3m_200897.jpg,# runs with the ball during a game against sports team .,# runs with the ball during a game against sports team .,0.7936711311340332,1.0000001192092896,0.8968356847763062,1.0000001192092896,image|joint|text,very_high,near-duplicate,wzy,near-duplicate,,1,duplicate|near-duplicate|not-duplicate,duplicate: same image and same caption meaning; near-duplicate: visually/semantically same with small edits; not-duplicate: meaningfully different pair.,near-duplicate,agreed,1,0,1,1,1,0,1,1,1,,fn,1,-0.103165,0.206329
cand_015488,cc3m_142036,cc3m_202035,D:\data\cc3m_subset_200k\cc3m_142036.jpg,D:\data\cc3m_subset_200k\cc3m_202035.jpg,letter logo design in a circle .,letter logo design in a circle .,0.7471120953559875,1.0000001192092896,0.8735560774803162,1.0000001192092896,image|joint,very_high,near-duplicate,wzy,near-duplicate,,1,duplicate|near-duplicate|not-duplicate,duplicate: same image and same caption meaning; near-duplicate: visually/semantically same with small edits; not-duplicate: meaningfully different pair.,near-duplicate,agreed,1,0,1,1,1,0,1,1,1,,fn,1,-0.126444,0.252888
cand_016406,cc3m_99693,cc3m_106152,D:\data\cc3m_subset_200k\cc3m_99693.jpg,D:\data\cc3m_subset_200k\cc3m_106152.jpg,aerial view of a river & lake in a forested region of countryside,aerial view of a river & lake in a forested region of countryside,0.7760496139526367,1.0000001192092896,0.8880249261856079,1.0000001192092896,image|joint|text,very_high,near-duplicate,wzy,near-duplicate,,1,duplicate|near-duplicate|not-duplicate,duplicate: same image and same caption meaning; near-duplicate: visually/semantically same with small edits; not-duplicate: meaningfully different pair.,near-duplicate,agreed,1,0,1,1,1,0,1,1,1,,fn,1,-0.111975,0.223951
cand_016653,cc3m_89082,cc3m_172501,D:\data\cc3m_subset_200k\cc3m_89082.jpg,D:\data\cc3m_subset_200k\cc3m_172501.jpg,illustration of a hand holding weighing scale scales of justice,illustration of a hand holding weighing scale scales of justice,0.7503801584243774,1.0000001192092896,0.8751900792121887,1.0000001192092896,image|joint|text,very_high,near-duplicate,wzy,,,0,duplicate|near-duplicate|not-duplicate,duplicate: same image and same caption meaning; near-duplicate: visually/semantically same with small edits; not-duplicate: meaningfully different pair.,near-duplicate,not_audited,1,0,1,1,1,0,1,1,1,,fn,1,-0.124810,0.249620
cand_016687,cc3m_88215,cc3m_97441,D:\data\cc3m_subset_200k\cc3m_88215.jpg,D:\data\cc3m_subset_200k\cc3m_97441.jpg,actor arrives at the premiere,actor arrives at the premiere,0.7263333797454834,1.0000001192092896,0.8631667494773865,1.0000001192092896,image|joint,very_high,near-duplicate,wzy,,,0,duplicate|near-duplicate|not-duplicate,duplicate: same image and same caption meaning; near-duplicate: visually/semantically same with small edits; not-duplicate: meaningfully different pair.,near-duplicate,not_audited,1,0,1,1,1,0,1,1,1,,fn,1,-0.136833,0.273667
cand_017447,cc3m_64545,cc3m_84803,D:\data\cc3m_subset_200k\cc3m_64545.jpg,D:\data\cc3m_subset_200k\cc3m_84803.jpg,person arrives at the premiere,person arrives at the premiere,0.7087559700012207,1.0000001192092896,0.8543781042098999,1.0000001192092896,image|joint,very_high,near-duplicate,wzy,,,0,duplicate|near-duplicate|not-duplicate,duplicate: same image and same caption meaning; near-duplicate: visually/semantically same with small edits; not-duplicate: meaningfully different pair.,near-duplicate,not_audited,1,0,1,1,1,0,1,1,1,,fn,1,-0.145622,0.291244
cand_017519,cc3m_62327,cc3m_65604,D:\data\cc3m_subset_200k\cc3m_62327.jpg,D:\data\cc3m_subset_200k\cc3m_65604.jpg,soccer player and battle for the ball,soccer player and battle for the ball,0.7567775249481201,1.0000001192092896,0.8783888816833496,1.0000001192092896,image|joint,very_high,near-duplicate,wzy,,,0,duplicate|near-duplicate|not-duplicate,duplicate: same image and same caption meaning; near-duplicate: visually/semantically same with small edits; not-duplicate: meaningfully different pair.,near-duplicate,not_audited,1,0,1,1,1,0,1,1,1,,fn,1,-0.121611,0.243223
cand_018120,cc3m_47611,cc3m_198315,D:\data\cc3m_subset_200k\cc3m_47611.jpg,D:\data\cc3m_subset_200k\cc3m_198315.jpg,map in gray on a white background,map in gray on a white background,0.7478535175323486,1.0000001192092896,0.8739267587661743,1.0000001192092896,image|joint|text,very_high,near-duplicate,wzy,,,0,duplicate|near-duplicate|not-duplicate,duplicate: same image and same caption meaning; near-duplicate: visually/semantically same with small edits; not-duplicate: meaningfully different pair.,near-duplicate,not_audited,1,0,1,1,1,0,1,1,1,,fn,1,-0.126073,0.252147
cand_027952,cc3m_62629,cc3m_133314,D:\data\cc3m_subset_200k\cc3m_62629.jpg,D:\data\cc3m_subset_200k\cc3m_133314.jpg,vector silhouette of people on a white background .,vector silhouette of people on a white background .,0.787465512752533,1.0000001192092896,0.8937329053878784,1.0000001192092896,joint|text,very_high,near-duplicate,wzy,near-duplicate,,1,duplicate|near-duplicate|not-duplicate,duplicate: same image and same caption meaning; near-duplicate: visually/semantically same with small edits; not-duplicate: meaningfully different pair.,near-duplicate,agreed,1,0,1,1,1,0,1,1,1,,fn,1,-0.106267,0.212535
cand_032772,cc3m_21460,cc3m_98673,D:\data\cc3m_subset_200k\cc3m_21460.jpg,D:\data\cc3m_subset_200k\cc3m_98673.jpg,letter logo design in a circle .,letter logo design in a circle .,0.7289116382598877,1.0000001192092896,0.8644559383392334,1.0000001192092896,text,very_high,near-duplicate,wzy,,,0,duplicate|near-duplicate|not-duplicate,duplicate: same image and same caption meaning; near-duplicate: visually/semantically same with small edits; not-duplicate: meaningfully different pair.,near-duplicate,not_audited,1,0,1,1,1,0,1,1,1,,fn,1,-0.135544,0.271088
cand_037121,cc3m_4875,cc3m_107365,D:\data\cc3m_subset_200k\cc3m_4875.jpg,D:\data\cc3m_subset_200k\cc3m_107365.jpg,shape animated on the satellite map of the globe,shape animated on the satellite map of the globe,0.704960286617279,1.0,0.8524801731109619,1.0,joint|text,very_high,duplicate,wzy,,,0,duplicate|near-duplicate|not-duplicate,duplicate: same image and same caption meaning; near-duplicate: visually/semantically same with small edits; not-duplicate: meaningfully different pair.,duplicate,not_audited,1,0,1,1,1,0,1,1,1,,fn,1,-0.147520,0.295040
cand_039554,cc3m_127505,cc3m_129763,D:\data\cc3m_subset_200k\cc3m_127505.jpg,D:\data\cc3m_subset_200k\cc3m_129763.jpg,a bride puts on sneakers for portraits,a bride puts on sneakers for portraits,0.7254868149757385,1.0,0.8627433776855469,1.0,image|joint|text,very_high,near-duplicate,wzy,,,0,duplicate|near-duplicate|not-duplicate,duplicate: same image and same caption meaning; near-duplicate: visually/semantically same with small edits; not-duplicate: meaningfully different pair.,near-duplicate,not_audited,1,0,1,1,1,0,1,1,1,,fn,1,-0.137257,0.274513
cand_040622,cc3m_96413,cc3m_175980,D:\data\cc3m_subset_200k\cc3m_96413.jpg,D:\data\cc3m_subset_200k\cc3m_175980.jpg,a fashion illustration of show during event,a fashion illustration of show during event,0.7521108388900757,1.0,0.8760555386543274,1.0,image|joint|text,very_high,near-duplicate,wzy,near-duplicate,,1,duplicate|near-duplicate|not-duplicate,duplicate: same image and same caption meaning; near-duplicate: visually/semantically same with small edits; not-duplicate: meaningfully different pair.,near-duplicate,agreed,1,0,1,1,1,0,1,1,1,,fn,1,-0.123945,0.247889
cand_040901,cc3m_89314,cc3m_198063,D:\data\cc3m_subset_200k\cc3m_89314.jpg,D:\data\cc3m_subset_200k\cc3m_198063.jpg,funny man with a watermelon on his head,funny man with a watermelon on his head,0.7143622040748596,1.0,0.8571810722351074,1.0,image|joint|text,very_high,duplicate,wzy,,,0,duplicate|near-duplicate|not-duplicate,duplicate: same image and same caption meaning; near-duplicate: visually/semantically same with small edits; not-duplicate: meaningfully different pair.,duplicate,not_audited,1,0,1,1,1,0,1,1,1,,fn,1,-0.142819,0.285638
