candidate_id,pair_id_a,pair_id_b,image_path_a,image_path_b,caption_a,caption_b,image_similarity,text_similarity,joint_similarity,max_similarity,signals,bucket,label,annotator,audit_label,notes,image_bucket,text_bucket,joint_bucket,score_bucket,annotation_id,needs_audit,label_options,annotation_guideline
cand_293753,cc3m_5234,cc3m_58887,D:\data\cc3m_subset_200k\cc3m_5234.jpg,D:\data\cc3m_subset_200k\cc3m_58887.jpg,actor in a still from film,comedian in a scene from the movie which was released,0.09055604785680771,0.8978942036628723,0.4942251145839691,0.8978942036628723,text,high,,,,,"[-1.00,0.50)","[0.80,0.90)","[0.30,0.50)","image=[-1.00,0.50)|text=[0.80,0.90)|joint=[0.30,0.50)",fair_0000,0,duplicate|near-duplicate|not-duplicate,Label from the image-caption pair semantics only; sampling is score-stratified and label-agnostic.
cand_294311,cc3m_10378,cc3m_65761,D:\data\cc3m_subset_200k\cc3m_10378.jpg,D:\data\cc3m_subset_200k\cc3m_65761.jpg,i saw this today and it is beautiful !,this reminds us of person .,0.08900611102581024,0.8977566361427307,0.4933813214302063,0.8977566361427307,text,high,,,,,"[-1.00,0.50)","[0.80,0.90)","[0.30,0.50)","image=[-1.00,0.50)|text=[0.80,0.90)|joint=[0.30,0.50)",fair_0001,0,duplicate|near-duplicate|not-duplicate,Label from the image-caption pair semantics only; sampling is score-stratified and label-agnostic.
cand_295693,cc3m_2280,cc3m_128925,D:\data\cc3m_subset_200k\cc3m_2280.jpg,D:\data\cc3m_subset_200k\cc3m_128925.jpg,actor poses for a fashion photo .,actor poses for a photo,0.06543435901403427,0.897424578666687,0.48142948746681213,0.897424578666687,text,high,,,,,"[-1.00,0.50)","[0.80,0.90)","[0.30,0.50)","image=[-1.00,0.50)|text=[0.80,0.90)|joint=[0.30,0.50)",fair_0002,0,duplicate|near-duplicate|not-duplicate,Label from the image-caption pair semantics only; sampling is score-stratified and label-agnostic.
cand_305080,cc3m_37738,cc3m_88694,D:\data\cc3m_subset_200k\cc3m_37738.jpg,D:\data\cc3m_subset_200k\cc3m_88694.jpg,biological species in the spring,biological species at the side,0.0874861627817154,0.8952613472938538,0.49137377738952637,0.8952613472938538,text,high,,,,,"[-1.00,0.50)","[0.80,0.90)","[0.30,0.50)","image=[-1.00,0.50)|text=[0.80,0.90)|joint=[0.30,0.50)",fair_0003,0,duplicate|near-duplicate|not-duplicate,Label from the image-caption pair semantics only; sampling is score-stratified and label-agnostic.
cand_306048,cc3m_295,cc3m_44438,D:\data\cc3m_subset_200k\cc3m_295.jpg,D:\data\cc3m_subset_200k\cc3m_44438.jpg,artist performs on the main stage during day,actor on the main stage during - day .,0.05943980813026428,0.8950427770614624,0.47724127769470215,0.8950427770614624,text,high,,,,,"[-1.00,0.50)","[0.80,0.90)","[0.30,0.50)","image=[-1.00,0.50)|text=[0.80,0.90)|joint=[0.30,0.50)",fair_0004,0,duplicate|near-duplicate|not-duplicate,Label from the image-caption pair semantics only; sampling is score-stratified and label-agnostic.
cand_310582,cc3m_147720,cc3m_148947,D:\data\cc3m_subset_200k\cc3m_147720.jpg,D:\data\cc3m_subset_200k\cc3m_148947.jpg,as western christian holiday approaches it 's certainly not the season of good will to all men .,western christian holiday is here .,0.05627245455980301,0.8940262198448181,0.47514933347702026,0.8940262198448181,text,high,,,,,"[-1.00,0.50)","[0.80,0.90)","[0.30,0.50)","image=[-1.00,0.50)|text=[0.80,0.90)|joint=[0.30,0.50)",fair_0005,0,duplicate|near-duplicate|not-duplicate,Label from the image-caption pair semantics only; sampling is score-stratified and label-agnostic.
cand_310800,cc3m_17579,cc3m_25452,D:\data\cc3m_subset_200k\cc3m_17579.jpg,D:\data\cc3m_subset_200k\cc3m_25452.jpg,old version of the sign,had to snap a picture of the sign .,0.09331505000591278,0.893983006477356,0.49364912509918213,0.893983006477356,text,high,,,,,"[-1.00,0.50)","[0.80,0.90)","[0.30,0.50)","image=[-1.00,0.50)|text=[0.80,0.90)|joint=[0.30,0.50)",fair_0006,0,duplicate|near-duplicate|not-duplicate,Label from the image-caption pair semantics only; sampling is score-stratified and label-agnostic.
cand_324666,cc3m_32583,cc3m_147720,D:\data\cc3m_subset_200k\cc3m_32583.jpg,D:\data\cc3m_subset_200k\cc3m_147720.jpg,"western christian holiday , the holiday season is upon us !",as western christian holiday approaches it 's certainly not the season of good will to all men .,0.10182826220989227,0.8909120559692383,0.49637019634246826,0.8909120559692383,text,high,,,,,"[-1.00,0.50)","[0.80,0.90)","[0.30,0.50)","image=[-1.00,0.50)|text=[0.80,0.90)|joint=[0.30,0.50)",fair_0007,1,duplicate|near-duplicate|not-duplicate,Label from the image-caption pair semantics only; sampling is score-stratified and label-agnostic.
cand_325570,cc3m_69270,cc3m_202872,D:\data\cc3m_subset_200k\cc3m_69270.jpg,D:\data\cc3m_subset_200k\cc3m_202872.jpg,this is one to add to the wish list,i need to have a look .,0.03881075978279114,0.8907175660133362,0.46476417779922485,0.8907175660133362,text,high,,,,,"[-1.00,0.50)","[0.80,0.90)","[0.30,0.50)","image=[-1.00,0.50)|text=[0.80,0.90)|joint=[0.30,0.50)",fair_0008,0,duplicate|near-duplicate|not-duplicate,Label from the image-caption pair semantics only; sampling is score-stratified and label-agnostic.
cand_325586,cc3m_107157,cc3m_192744,D:\data\cc3m_subset_200k\cc3m_107157.jpg,D:\data\cc3m_subset_200k\cc3m_192744.jpg,"person , a tribute to actor","person , a tribute to event",0.09817858040332794,0.8907127976417542,0.49444568157196045,0.8907127976417542,text,high,,,,,"[-1.00,0.50)","[0.80,0.90)","[0.30,0.50)","image=[-1.00,0.50)|text=[0.80,0.90)|joint=[0.30,0.50)",fair_0009,0,duplicate|near-duplicate|not-duplicate,Label from the image-caption pair semantics only; sampling is score-stratified and label-agnostic.
